"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 27 03:33:05 UTC 2026","Tue Jan 27 03:33:06 UTC 2026","965","Surefire suite","Surefire test","com.abhijeet.qa.tests.ui.FinancialServiceCatalogTests","com.abhijeet.qa.tests.ui.FinancialServiceCatalogTests","verifyFinancialServiceCatalog","verifyFinancialServiceCatalog","Verify mandatory service data and instrument rates for the top-tier catalog"
"passed","Tue Jan 27 03:33:07 UTC 2026","Tue Jan 27 03:33:08 UTC 2026","648","Surefire suite","Surefire test","com.abhijeet.qa.tests.ui.LoginTests","com.abhijeet.qa.tests.ui.LoginTests","loginWithValidCredentials","loginWithValidCredentials","Verify successful login with valid credentials"
"passed","Tue Jan 27 03:32:58 UTC 2026","Tue Jan 27 03:33:00 UTC 2026","1625","Surefire suite","Surefire test","com.abhijeet.qa.tests.ui.TransactionExecutionTests","com.abhijeet.qa.tests.ui.TransactionExecutionTests","verifyTransactionAuthorizationFlow","verifyTransactionAuthorizationFlow","Validating the transition to the final review state"
"passed","Tue Jan 27 03:33:06 UTC 2026","Tue Jan 27 03:33:07 UTC 2026","608","Surefire suite","Surefire test","com.abhijeet.qa.tests.ui.LoginTests","com.abhijeet.qa.tests.ui.LoginTests","loginWithInvalidCredentials","loginWithInvalidCredentials","Verify login fails with invalid credentials"
"passed","Tue Jan 27 03:33:00 UTC 2026","Tue Jan 27 03:33:02 UTC 2026","1427","Surefire suite","Surefire test","com.abhijeet.qa.tests.ui.TransactionExecutionTests","com.abhijeet.qa.tests.ui.TransactionExecutionTests","verifyTransactionSettlementCompletion","verifyTransactionSettlementCompletion","Ensure the system provides a valid confirmation upon transaction commitment"
"passed","Tue Jan 27 03:33:02 UTC 2026","Tue Jan 27 03:33:03 UTC 2026","752","Surefire suite","Surefire test","com.abhijeet.qa.tests.ui.TransactionStagingTests","com.abhijeet.qa.tests.ui.TransactionStagingTests","verifyFinancialServiceStaging","verifyFinancialServiceStaging","Verify Transaction Initiation: Selection of a financial service for staging"
"passed","Tue Jan 27 03:33:03 UTC 2026","Tue Jan 27 03:33:04 UTC 2026","846","Surefire suite","Surefire test","com.abhijeet.qa.tests.ui.TransactionStagingTests","com.abhijeet.qa.tests.ui.TransactionStagingTests","verifyMultipleTransactionQueueCount","verifyMultipleTransactionQueueCount","Verify Queue Synchronization: Ensure the badge accurately reflects multiple staged transactions"
